case_id,description,expected_decision,expected_reasoning,C-V1_decision,C-V1_reason,C-V1_confidence,correct
EVAL001,Translation service for a contract negotiation with an overseas supplier.,ESCALATE,"No corpus policy addresses professional/translation services -- insufficient policy evidence, correctly escalated with no citation.",ESCALATE,"The expense for translation services does not match any of the applicable policies, as it falls outside the scope of the provided policies regarding digital tools, non-home denomination claims, and personal acquisitions.",0.9,YES
EVAL002,Dinner during approved business travel.,APPROVE,Applicable policy ['POL-02'] support APPROVE.,REJECT,"The expense does not meet the criteria for client hospitality as there is no external client mentioned, and it does not qualify under the staff sustenance allowance since the employee description does not confirm that the travel was approved or that the employee worked beyond normal hours.",0.9,NO
EVAL003,Client dinner for the Nova Systems renewal discussion.,REQUEST_INFORMATION,"[UPDATED -- dataset since corrected] POL-03 applies to this client dinner; the specific missing fact is attendee_count (needed to check whether the POL-30 large-group threshold/pre-authorisation applies) -- a nameable missing fact, not an unresolvable policy gap, so REQUEST_INFORMATION rather than ESCALATE.",REQUEST_INFORMATION,"The claim does not specify the name of the external client or organization involved in the dinner, which is required under the Customer Hospitality policy (POL-03).",0.9,YES
EVAL004,USB-C dock for campaign workstation.,APPROVE,Applicable policy ['POL-10'] support APPROVE.,APPROVE,"The USB-C dock is a necessary piece of equipment for the campaign workstation, and it falls under the Workplace Apparatus policy, which allows for reimbursement of equipment needed for job performance. The total amount of SGD 189.00 is within the policy limit of SGD 200.",1.0,YES
EVAL005,Dinner during business travel.,REJECT,"SGD 42 exceeds POL-02's SGD 40/person cap -- a clear, provable violation.",REJECT,"The expense does not meet the criteria for reimbursement under the relevant policies, as it lacks a documented business reason and does not indicate that the claimant was on an approved trip away from their normal workplace.",0.9,YES
EVAL006,Taxi from home to normal workplace in the morning.,REJECT,"Ordinary home-to-workplace commuting is explicitly excluded by POL-05, with no after-hours exception applicable (morning trip).",REJECT,"The taxi expense is for commuting from home to the normal workplace, which is explicitly not reimbursable under the company's policies.",1.0,YES
EVAL007,Client dinner after the quarterly business review; a large group attended.,REQUEST_INFORMATION,"Applicable policies ['POL-03', 'POL-30'] support REQUEST_INFORMATION.",ESCALATE,"The expense claims to be for a client dinner, but it does not specify the identity of the external client or business contact, which is required under the relevant policies. This creates ambiguity regarding compliance with the policies.",0.8,NO
EVAL008,Conference registration related to current role.,APPROVE,"[UPDATED -- dataset since corrected] Originally REQUEST_INFORMATION on the theory that manager approval was the missing fact; manager/supervisor approval is out of scope for this prototype (Section 21) and is never a valid missing_information item, so with no other unmet condition this conference registration is APPROVE under POL-17.",ESCALATE,"The receipt is billed to Ms. Jane Tan, not the claimant Cheryl Ng, creating an identity mismatch that cannot be resolved with the provided evidence.",0.9,NO
EVAL009,Ergonomic office chair for home-based finance work.,APPROVE,"[UPDATED -- dataset since corrected] Originally REQUEST_INFORMATION on the theory that supervisor authorisation documentation was the missing fact; manager/supervisor approval (including the >SGD200 authorisation threshold) is out of scope for this prototype (Section 21), so with the equipment purchase itself otherwise POL-10-compliant, the decision is APPROVE.",APPROVE,"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense is within the allowable limit.",1.0,YES
EVAL010,Dinner combining a client product-launch toast with an internal team celebration; unclear how much of the SGD 410 bill should be booked as client entertainment versus team offsite.,REQUEST_INFORMATION,[CORRECTED -- see changelog above] gt_policy_ids originally listed POL-19 (excludes dining occasions); corrected to POL-03 for this dinner.,ESCALATE,"The expense involves both a client product launch and an internal team celebration, creating ambiguity about which policy applies and how to allocate the costs. This requires human judgment to determine the appropriate categorization and compliance.",0.7,NO
