case_id,split,original_filename,renamed_filename,receipt_path,sha256
DEV001,dev,minimal_toast_kopi_house_receipt.png,DEV001.png,data/raw/receipts/DEV001.png,fe0b9af8a9d8e9f7865b0a09b5f021280b57e5a877efd0b19b09c3aa3cf8c5c9
DEV002,dev,orchard_digital_tax_invoice_receipt.png,DEV002.png,data/raw/receipts/DEV002.png,6e57a0f7a2cb7462008cab45bf8c52aafa5493c78de323542474918cc486d270
DEV003,dev,orchid_dumpling_house_receipt.png,DEV003.png,data/raw/receipts/DEV003.png,a6896cb1d28a65ee9f66cfc90479d4b24213034d25c15a12efc756e11e3293ac
DEV004,dev,metrocab_singapore_taxi_receipt.png,DEV004.png,data/raw/receipts/DEV004.png,9ea965f842af47da3a67cf4432b4b5184d86800c828df663e1609c8866215814
DEV005,dev,harbour_food_hall_receipt.png,DEV005.png,data/raw/receipts/DEV005.png,c6b1315eef4148cd0c5ca0f0a9798e54a5ceb147f5bcc715ca63a0b399b45787
DEV006,dev,hometech_singapore_tax_invoice_receipt.png,DEV006.png,data/raw/receipts/DEV006.png,f116930740eb493725517dc6155392208525ae65360ce412b2ee0bf34a997b8a
DEV007,dev,ai_asia_forum_receipt_invoice.png,DEV007.png,data/raw/receipts/DEV007.png,2d95ddb22fcba13f44b27026a8e202e84bc2eece7c622f43d6e59f7098b5b41e
DEV008,dev,gifthub_sg_receipt_on_cream_surface.png,DEV008.png,data/raw/receipts/DEV008.png,9e0777cd1f827399ca585d6fcb19e193e327f17f6ed5b7294e2738792b160d2c
DEV009,dev,riverside_seafood_tax_invoice_receipt.png,DEV009.png,data/raw/receipts/DEV009.png,cad8585216666bb244f02365b3d8a00d39905d70de9135f9e37b419a5309408f
DEV010,dev,ae33dbb3-1025-4142-bf0b-a10bacebb672.png,DEV010.png,data/raw/receipts/DEV010.png,7a008b0aae692a5f058576efb582c2189a4a79d1e54c1d1727feeaa318ec54cb
EVAL001,final_eval,generated_global_language_solutions_invoice.png,EVAL001.png,data/raw/receipts/EVAL001.png,8af3d6090b7586b435b49aff42eb8f07de947ca6f24a6ad21681fd7a4e534288
EVAL002,final_eval,minimal_toast_box_café_receipt.png,EVAL002.png,data/raw/receipts/EVAL002.png,94baf1d7af50f97f581c1f0afca8e0b0cb9223b1008b8a32e73af490e5348b83
EVAL003,final_eval,din_tai_fung_restaurant_receipt.png,EVAL003.png,data/raw/receipts/EVAL003.png,8fb91bf0cac4ebec8003375b7febc1cc1429dcc70076e6465e1e4662229c1a5c
EVAL004,final_eval,challenger_thermal_receipt_flat_lay.png,EVAL004.png,data/raw/receipts/EVAL004.png,427b09ec98dadedf8859dea3e6dbefec2400f7ad2e2afaeac908df595e211751
EVAL005,final_eval,food_republic_thermal_receipt.png,EVAL005.png,data/raw/receipts/EVAL005.png,fb4e85532a2d5d00a75bb27d26ed060a982de883e55e50d95cfb575d97e950e2
EVAL006,final_eval,comfortdelgro_taxi_receipt.png,EVAL006.png,data/raw/receipts/EVAL006.png,322fc08e128d4e2df07a42ec1efa83e9fdfc78734c22f396d532978ac81fd85d
EVAL007,final_eval,jumbo_seafood_tax_invoice_receipt.png,EVAL007.png,data/raw/receipts/EVAL007.png,5d26e3175ab5d351cff451c891a236d8e29cfebca5083d702acc423585f66405
EVAL008,final_eval,ai_asia_summit_receipt.png,EVAL008.png,data/raw/receipts/EVAL008.png,e9232a978c402d767d177203178f1d765b4c97432d972f1f8c4b8289edae1707
EVAL009,final_eval,courts_singapore_retail_receipt.png,EVAL009.png,data/raw/receipts/EVAL009.png,b050bceb149c6c9dc2d6127ccbc82dde9fb03ae7475a9935b476faa61138d3d7
EVAL010,final_eval,gift_card_receipt_on_white_paper.png,EVAL010.png,data/raw/receipts/EVAL010.png,200871aabb6df1682efde23c0245a0b9c8452f25c55bddeb2a56d868bdfd35ac
EVAL011,final_eval,active_sports_receipt_on_white_tabletop.png,EVAL011.png,data/raw/receipts/EVAL011.png,04041c093afcb18904b30b293b28ea70d2e8f1cb546c338cb07bbb3b98f73688
EVAL012,final_eval,bayside_grill_receipt_on_cream_tabletop.png,EVAL012.png,data/raw/receipts/EVAL012.png,d5b16d28ef0cab290eb71dd0c1bc5af98f0f1a032987d54d4b8c21bd9945cca9
EVAL013,final_eval,generated_amber_lounge_bistro_receipt.png,EVAL013.png,data/raw/receipts/EVAL013.png,44aa860531773f84bf29275f1055c5e0cc015ebe56463b00b741c1fc33ad9978
EVAL014,final_eval,papermarket_singapore_thermal_receipt.png,EVAL014.png,data/raw/receipts/EVAL014.png,dd85771b0ae088dff0131b445487e62244ebba7736188e2e9ca7609366a95d1b
EVAL015,final_eval,minimal_papermarket_singapore_receipt.png,EVAL015.png,data/raw/receipts/EVAL015.png,d5e6146e903e863f71b21d37704f3d3b3b5136cf2f236a15eb903930eaaf808b
