run_id,timestamp,case_id,module,variant,model,prompt_version,attempt,latency_ms,prompt_tokens,completion_tokens,cost_usd,raw_response,error,is_mock
d4ab2b54309d,2026-09-03T07:48:41.533784+00:00,DEV001,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,772.4589162857143,1622,97,0.000804,"{""merchant"": ""Toast & Kopi House"", ""date"": null, ""total_amount"": 39.5, ""currency"": ""SGD"", ""expense_category"": ""EMPLOYEE_MEAL"", ""line_items"": [""Dinner set 39.50""], ""business_purpose"": ""Dinner during approved business travel."", ""missing_information"": [], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
3c1522f76344,2026-09-03T07:48:41.534229+00:00,DEV002,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,762.3100935310362,1823,153,0.000974,"{""merchant"": ""Orchard Digital Pte. Ltd."", ""date"": ""2026-09-06"", ""total_amount"": 189.0, ""currency"": ""SGD"", ""expense_category"": ""OFFICE_EQUIPMENT"", ""line_items"": [""USB-C dock 189.00""], ""business_purpose"": ""USB-C dock for campaign workstation."", ""missing_information"": [], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
d5ce87d4681d,2026-09-03T07:48:41.534407+00:00,DEV003,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,788.6299311945663,975,122,0.0005852,"{""merchant"": ""Orchid Dumpling House Pte. Ltd."", ""date"": ""2026-09-05"", ""total_amount"": 148.0, ""currency"": ""SGD"", ""expense_category"": ""CLIENT_MEAL"", ""line_items"": [""Client lunch 148.00""], ""business_purpose"": ""Client lunch with SkyEdge Systems to discuss renewal."", ""missing_information"": [], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
a1c57d2d0ece,2026-09-03T07:48:41.534539+00:00,DEV004,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,792.1806182006577,868,124,0.0005456,"{""merchant"": ""MetroCab Singapore Pte. Ltd."", ""date"": ""2026-09-08"", ""total_amount"": 21.0, ""currency"": ""SGD"", ""expense_category"": ""TRANSPORT"", ""line_items"": [""Taxi fare 21.00""], ""business_purpose"": ""Taxi between client office and hotel during business trip."", ""missing_information"": [], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
f20e62f7e855,2026-09-03T07:48:41.534664+00:00,DEV005,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,504.9199760323745,2073,112,0.0010084,"{""merchant"": ""Harbour Food Hall Pte. Ltd."", ""date"": ""2026-09-07"", ""total_amount"": 42.0, ""currency"": ""SGD"", ""expense_category"": ""HOTEL"", ""line_items"": [""Dinner 42.00""], ""business_purpose"": ""Dinner during business travel."", ""missing_information"": [], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
970bacd8e3f8,2026-09-03T07:48:41.534783+00:00,DEV006,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,1183.1020256233785,1394,156,0.0008072,"{""merchant"": ""HomeTech Singapore Pte. Ltd."", ""date"": ""2026-09-11"", ""total_amount"": 230.0, ""currency"": ""SGD"", ""expense_category"": ""OFFICE_EQUIPMENT"", ""line_items"": [""Monitor 230.00""], ""business_purpose"": ""Office monitor for engineering work."", ""missing_information"": [""manager_approval""], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": true, ""mismatch_reason"": null}",,True
f9798253c5a8,2026-09-03T07:48:41.534898+00:00,DEV007,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,1007.70479694703,677,150,0.0005108000000000001,"{""merchant"": ""AI Asia Forum"", ""date"": ""2026-09-10"", ""total_amount"": 390.0, ""currency"": ""SGD"", ""expense_category"": ""TRAINING"", ""line_items"": [""Conference registration 390.00""], ""business_purpose"": ""Conference registration related to role."", ""missing_information"": [""manager_approval""], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
4b3f194f4da5,2026-09-03T07:48:41.535030+00:00,DEV008,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,958.7861767841275,1730,132,0.0009032,"{""merchant"": ""GiftHub SG"", ""date"": ""2026-09-12"", ""total_amount"": 60.0, ""currency"": ""SGD"", ""expense_category"": ""BUSINESS_GIFT"", ""line_items"": [""Gift card 60.00""], ""business_purpose"": ""Business gift to Mei at Nova Systems for partnership event."", ""missing_information"": [], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
0b52f8ecad2c,2026-09-03T07:48:41.535143+00:00,DEV009,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,1152.4574848189445,955,171,0.0006556000000000001,"{""merchant"": ""Riverside Seafood Pte. Ltd."", ""date"": ""2026-09-09"", ""total_amount"": 132.0, ""currency"": ""SGD"", ""expense_category"": ""CLIENT_MEAL"", ""line_items"": [""Dinner 132.00""], ""business_purpose"": ""Client dinner after quarterly business review."", ""missing_information"": [""client_name_or_organisation""], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
414433767c42,2026-09-03T07:48:41.535260+00:00,DEV010,module1_expense_understanding,module1,openai/gpt-4.1-mini,module1_v1,0,882.8976564220397,1708,168,0.000952,"{""merchant"": ""AI Asia Summit"", ""date"": ""2026-09-10"", ""total_amount"": 390.0, ""currency"": ""SGD"", ""expense_category"": ""TRAINING"", ""line_items"": [""Conference registration 390.00""], ""business_purpose"": ""Conference registration for AI Asia Summit; approval not attached."", ""missing_information"": [""manager_approval""], ""receipt_quality"": ""CLEAR"", ""description_receipt_mismatch"": false, ""mismatch_reason"": null}",,True
